params,mean_test_score,std_test_score,rank_test_score
"{'warm_start': False, 'min_samples_leaf': 30, 'max_leaf_nodes': 40, 'max_depth': 3, 'learning_rate': 0.001, 'l2_regularization': 0.0, 'early_stopping': True}",0.5321875,0.0,32
"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 45, 'max_depth': 4, 'learning_rate': 0.0002, 'l2_regularization': 0.3, 'early_stopping': False}",0.5321875,0.0,32
"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 25, 'max_depth': 10, 'learning_rate': 0.0005, 'l2_regularization': 0.2, 'early_stopping': False}",0.5321875,0.0,32
"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 30, 'max_depth': 6, 'learning_rate': 0.001, 'l2_regularization': 0.3, 'early_stopping': False}",0.5321875,0.0,32
"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 20, 'max_depth': 3, 'learning_rate': 0.0001, 'l2_regularization': 0.3, 'early_stopping': False}",0.5321875,0.0,32
"{'warm_start': False, 'min_samples_leaf': 25, 'max_leaf_nodes': 40, 'max_depth': 6, 'learning_rate': 0.0002, 'l2_regularization': 0.0, 'early_stopping': True}",0.5321875,0.0,32
"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 45, 'max_depth': 8, 'learning_rate': 0.0005, 'l2_regularization': 0.5, 'early_stopping': False}",0.5321875,0.0,32
"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 35, 'max_depth': 9, 'learning_rate': 0.0005, 'l2_regularization': 0.0, 'early_stopping': True}",0.5321875,0.0,32
"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 45, 'max_depth': 5, 'learning_rate': 0.0005, 'l2_regularization': 0.5, 'early_stopping': True}",0.5321875,0.0,32
"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 25, 'max_depth': 10, 'learning_rate': 0.0005, 'l2_regularization': 0.0, 'early_stopping': False}",0.5321875,0.0,32
